ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
68.0,25.015954,1.51223866,37.83009275558164,48.31717,0.7102622,34.31599,7.69,5.0,5.56,4.94,-2.19,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,60.0,57.5,55.6,55.6,-4.4,-1.9,55.6
68.5,25.016664,1.52207712,38.07729189312768,48.6711,0.7101007,34.54909,7.75,5.0,5.56,4.94,-2.19,-0.06,8.44,5.0,5.69,4.94,-2.81,-0.13,60.0,57.5,55.6,55.6,-4.4,-1.9,55.6
69.0,25.01605,1.5321557,38.328483598984995,49.01829,0.7100913,34.81115,7.75,5.0,5.63,4.94,-2.13,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,60.0,57.5,55.6,55.6,-4.4,-1.9,56.3
69.5,25.01528,1.54152492,38.561677500777606,49.34529,0.7099826,35.03394,7.81,5.0,5.63,4.94,-2.19,-0.06,8.5,5.0,5.63,4.88,-2.88,-0.13,60.0,57.5,55.6,56.3,-5.0,-1.9,55.6
70.0,25.015738,1.55143418,38.81027097112484,49.69632,0.7097564,35.27761,7.69,5.0,5.63,4.94,-2.19,-0.06,8.44,5.06,5.63,4.94,-2.81,-0.13,60.6,58.1,56.3,56.3,-4.4,-1.9,56.3
70.5,25.015712,1.56156214,39.06358876434368,50.04353,0.7095064,35.49744,7.69,5.0,5.56,4.94,-2.19,-0.06,8.5,5.0,5.69,4.88,-2.81,-0.13,60.6,58.1,56.3,56.3,-4.4,-2.5,56.3
71.0,25.015571,1.56962218,39.26499508696478,50.33041,0.7093375,35.7043,7.75,5.0,5.56,4.94,-2.19,-0.06,8.5,5.0,5.69,4.88,-2.81,-0.13,60.0,57.5,55.0,55.6,-4.4,-1.9,55.6
71.5,25.015741,1.58080873,39.54510176021893,50.72587,0.7094063,35.97687,7.81,5.0,5.63,4.94,-2.19,-0.13,8.44,4.94,5.69,4.88,-2.81,-0.13,60.0,57.5,55.6,55.6,-4.4,-1.9,56.3
72.0,25.015582,1.5896554,39.7661550104428,51.03595,0.7090391,36.18612,7.75,5.0,5.56,4.94,-2.19,-0.06,8.38,5.06,5.63,4.94,-2.75,-0.13,60.0,57.5,55.6,55.6,-3.8,-1.9,56.3
72.5,25.015578,1.59940945,40.0101518504121,51.3811,0.7089325,36.42375,7.75,5.0,5.56,4.94,-2.19,-0.06,8.5,5.06,5.69,4.94,-2.81,-0.13,60.0,57.5,55.6,55.6,-4.4,-1.9,56.3
73.0,25.014735,1.60951657,40.26163047665895,51.73858,0.7087409,36.67412,7.69,5.0,5.56,4.94,-2.19,-0.13,8.44,5.06,5.69,4.94,-2.75,-0.13,59.4,56.9,55.0,55.0,-4.4,-1.9,55.6
73.5,25.014183,1.61947784,40.50991505420472,52.09397,0.7084994,36.9114,7.75,5.0,5.63,4.94,-2.19,-0.06,8.38,5.06,5.63,4.94,-2.75,-0.13,59.4,56.9,55.0,55.0,-4.4,-1.9,55.6
74.0,25.013958,1.62947773,40.75968750015534,52.44702,0.7082165,37.15177,7.69,5.0,5.56,4.94,-2.13,-0.06,8.5,5.06,5.69,4.94,-2.81,-0.13,60.0,57.5,55.6,55.6,-4.4,-1.9,55.6
74.5,25.014457,1.63850622,40.98634338442254,52.77285,0.7082597,37.36766,7.81,5.0,5.63,4.94,-2.19,-0.06,8.44,5.0,5.69,4.88,-2.81,-0.13,60.6,58.1,56.3,56.3,-4.4,-1.9,55.6
