ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
68.5,24.873847,1.80566078,44.91372997562066,52.88,0.7715279,40.80382,0.64,0.041,0.5,0.025
69.0,24.873423,1.81430073,45.12786950649879,53.19429,0.7706012,40.99273,0.64,0.041,0.52,0.025
69.5,24.872602,1.82251115,45.3305944745123,53.49533,0.769735,41.18669,0.64,0.041,0.5,0.025
70.0,24.872173,1.83187924,45.562817372388515,53.83824,0.7687975,41.38742,0.67,0.038,0.5,0.027
70.5,24.871326,1.8406205,45.778672497783,54.14796,0.7678825,41.58525,0.66,0.041,0.5,0.023
71.0,24.870875,1.8493227,45.994273706362506,54.49221,0.7666811,41.78254,0.67,0.041,0.5,0.027
71.5,24.870777,1.85519356,46.14010532259612,54.70736,0.7661236,41.91587,0.67,0.039,0.53,0.027
72.0,24.870544,1.86521051,46.38880005821744,55.08996,0.7651246,42.15893,0.69,0.038,0.53,0.025
72.5,24.870585,1.87307987,46.584592118623945,55.39907,0.7639812,42.33834,0.72,0.041,0.53,0.027
73.0,24.884155,1.87989536,46.7796075220208,55.68225,0.7632522,42.52694,0.72,0.042,0.53,0.025
73.5,24.874316,1.88700078,46.93785369396648,55.98365,0.7615092,42.63282,0.73,0.038,0.53,0.028
74.0,24.887155,1.89578437,47.18067946276735,56.27481,0.7605209,42.79876,0.72,0.039,0.55,0.027
74.5,24.913822,1.90093754,47.35961950467788,56.6572,0.7601506,43.06099,0.72,0.042,0.55,0.031
