Time (s),VGS_A,VGS_B,VDS_A,VDS_B,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN""]"
1.3450000000000002e-07,5.437500441599999,-0.4999999232000001,-1.8749957120000005,46.249999360000004,768
1.35e-07,5.3593754368,-0.18749990400000005,-1.8749957120000005,45.624999424,768
1.3550000000000002e-07,5.2031254272,-0.031249894400000144,-1.8749957120000005,45.624999424,768
1.36e-07,5.281250431999999,-0.1093748992000001,-1.8749957120000005,44.999999488,768
1.365e-07,5.125000422399999,-0.2656249088,-1.2499957760000058,43.749999616,768
1.37e-07,5.125000422399999,-0.2656249088,-1.2499957760000058,43.749999616,768
1.375e-07,4.890625407999999,-0.1093748992000001,-1.8749957120000005,43.12499968,768
1.3800000000000002e-07,4.734375398399999,0.12500011519999976,-1.8749957120000005,42.499999744,768
1.385e-07,4.6562503936,0.12500011519999976,-2.4999956480000023,43.749999616,768
1.3900000000000001e-07,4.578125388799999,-0.031249894400000144,-1.8749957120000005,43.749999616,768
1.395e-07,4.578125388799999,-0.2656249088,-1.8749957120000005,43.12499968,768
1.4e-07,4.500000384,-0.18749990400000005,-1.2499957760000058,42.499999744,768
1.4050000000000002e-07,4.421875379199999,0.04687511039999981,-0.624995840000004,41.249999872000004,768
1.41e-07,4.500000384,0.20312511999999994,-1.8749957120000005,40.0,768
1.4150000000000002e-07,4.500000384,0.04687511039999981,-1.8749957120000005,40.0,768
1.42e-07,4.6562503936,-0.18749990400000005,-1.2499957760000058,41.874999808,768
1.425e-07,4.578125388799999,-0.2656249088,-1.8749957120000005,41.249999872000004,768
1.43e-07,4.578125388799999,-0.18749990400000005,-1.8749957120000005,41.249999872000004,768
1.435e-07,4.6562503936,-0.031249894400000144,-1.2499957760000058,40.0,768
1.4400000000000002e-07,4.6562503936,-0.031249894400000144,-1.8749957120000005,40.0,768
1.445e-07,4.6562503936,-0.1093748992000001,-1.2499957760000058,39.375000064,768
1.4500000000000001e-07,4.734375398399999,-0.2656249088,-1.8749957120000005,40.0,768
1.455e-07,4.734375398399999,-0.2656249088,-2.4999956480000023,40.0,768
1.46e-07,4.8125004032,-0.18749990400000005,-1.8749957120000005,40.0,768
1.4650000000000002e-07,4.734375398399999,-0.031249894400000144,-1.2499957760000058,40.624999936,768
1.47e-07,4.734375398399999,-0.1093748992000001,-1.2499957760000058,38.750000127999996,768
1.4750000000000002e-07,4.890625407999999,-0.2656249088,-1.8749957120000005,39.375000064,768
1.48e-07,4.9687504127999995,-0.2656249088,-1.8749957120000005,40.0,768
1.485e-07,4.890625407999999,-0.1093748992000001,-1.2499957760000058,40.0,768
1.49e-07,4.890625407999999,0.04687511039999981,-1.8749957120000005,40.624999936,768
1.495e-07,4.9687504127999995,0.12500011519999976,-1.2499957760000058,40.0,768
1.5000000000000002e-07,4.890625407999999,-0.031249894400000144,-1.2499957760000058,40.0,768
1.505e-07,4.890625407999999,-0.1093748992000001,-1.2499957760000058,40.624999936,768
1.5100000000000002e-07,4.890625407999999,-0.1093748992000001,-1.2499957760000058,41.874999808,768
1.515e-07,4.890625407999999,-0.1093748992000001,-1.2499957760000058,41.874999808,768
1.52e-07,4.890625407999999,0.04687511039999981,-2.4999956480000023,41.874999808,768
1.5250000000000002e-07,4.8125004032,0.12500011519999976,-1.8749957120000005,41.249999872000004,768
1.53e-07,4.890625407999999,0.04687511039999981,-1.2499957760000058,41.249999872000004,768
1.5350000000000002e-07,4.890625407999999,-0.18749990400000005,-1.8749957120000005,41.874999808,768
1.54e-07,4.9687504127999995,-0.2656249088,-1.2499957760000058,43.749999616,768
1.5450000000000001e-07,4.890625407999999,-0.18749990400000005,-0.624995840000004,43.749999616,768
1.55e-07,4.890625407999999,-0.1093748992000001,-1.2499957760000058,43.749999616,768
1.555e-07,4.8125004032,-0.1093748992000001,-1.8749957120000005,44.374999552,768
1.5600000000000002e-07,4.890625407999999,-0.1093748992000001,-2.4999956480000023,44.374999552,768
1.565e-07,4.890625407999999,-0.18749990400000005,-0.624995840000004,45.624999424,768
1.5700000000000002e-07,4.890625407999999,-0.1093748992000001,-1.2499957760000058,45.624999424,768
1.575e-07,4.8125004032,-0.031249894400000144,-0.624995840000004,46.249999360000004,768
1.58e-07,4.890625407999999,-0.031249894400000144,-1.2499957760000058,46.249999360000004,768
1.5850000000000002e-07,4.8125004032,-0.1093748992000001,-1.8749957120000005,46.874999296,768
1.59e-07,4.890625407999999,-0.031249894400000144,-1.8749957120000005,48.124999168,768
1.5950000000000002e-07,4.8125004032,-0.1093748992000001,-1.8749957120000005,48.749999104,0
1.6e-07,4.890625407999999,-0.031249894400000144,-1.8749957120000005,48.749999104,0
1.6050000000000001e-07,4.8125004032,0.12500011519999976,-1.2499957760000058,48.124999168,0
1.61e-07,4.890625407999999,0.04687511039999981,-1.2499957760000058,48.124999168,0
1.615e-07,4.890625407999999,-0.1093748992000001,-1.8749957120000005,48.749999104,0
1.6200000000000002e-07,4.890625407999999,-0.18749990400000005,-1.8749957120000005,49.999998976,0
1.625e-07,4.890625407999999,-0.1093748992000001,-1.2499957760000058,50.624998912,0
1.6300000000000002e-07,4.8125004032,-0.18749990400000005,-2.4999956480000023,50.624998912,0
1.635e-07,4.8125004032,-0.18749990400000005,-2.4999956480000023,50.624998912,0
1.64e-07,4.8125004032,-0.18749990400000005,-1.8749957120000005,51.249998848000004,0
1.645e-07,4.8125004032,-0.18749990400000005,-0.624995840000004,50.624998912,0
1.65e-07,4.8125004032,-0.18749990400000005,-1.8749957120000005,51.874998784,0
