Time (s),VDS_A,VDS_B,V_MR,V_RECT_IN,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN"", ""GATE_1"", ""GATE_2""]"
2.0000000000000002e-07,45.31250432,0.7812515839999996,61.249995776000006,-42.187502592,19456
2.005e-07,46.875004415999996,1.562501632,64.37499596800001,-39.0625024,19456
2.01e-07,47.656254464,1.5359999991915174e-06,65.937496064,-39.0625024,19456
2.0150000000000002e-07,48.437504512000004,-1.5624985600000016,65.937496064,-39.0625024,19456
2.02e-07,46.875004415999996,-2.343748608000002,67.49999616,-40.625002496,19456
2.0250000000000002e-07,44.531254272,-2.343748608000002,70.62499635200001,-40.625002496,19456
2.03e-07,42.968754176000004,-1.5624985600000016,70.62499635200001,-40.625002496,19456
2.0350000000000002e-07,42.187504128,-1.5624985600000016,75.31249664,-40.625002496,19456
2.04e-07,43.750004223999994,-1.5624985600000016,76.874996736,-40.625002496,19456
2.045e-07,44.531254272,-1.5624985600000016,75.31249664,-40.625002496,19456
2.0500000000000002e-07,44.531254272,-1.5624985600000016,75.31249664,-42.187502592,19456
2.055e-07,43.750004223999994,-1.5624985600000016,76.874996736,-42.187502592,19456
2.0600000000000002e-07,41.40625408,-0.7812485120000012,81.56249702400001,-43.750002687999995,19456
2.065e-07,42.187504128,1.5359999991915174e-06,79.999996928,-42.187502592,19456
2.0700000000000001e-07,41.40625408,1.5359999991915174e-06,81.56249702400001,-40.625002496,19456
2.0750000000000003e-07,41.40625408,-0.7812485120000012,79.999996928,-40.625002496,19456
2.08e-07,39.062503936,-1.5624985600000016,79.999996928,-43.750002687999995,19456
2.0850000000000002e-07,39.843753984,-1.5624985600000016,83.12499712,-42.187502592,19456
2.09e-07,41.40625408,-2.343748608000002,83.12499712,-40.625002496,19456
2.0950000000000002e-07,41.40625408,-2.343748608000002,83.12499712,-40.625002496,19456
2.1e-07,41.40625408,-1.5624985600000016,84.687497216,-42.187502592,19456
2.105e-07,39.843753984,-1.5624985600000016,83.12499712,-40.625002496,19456
2.1100000000000002e-07,39.062503936,-1.5624985600000016,81.56249702400001,-40.625002496,19456
2.115e-07,39.062503936,-1.5624985600000016,83.12499712,-40.625002496,19456
2.1200000000000002e-07,39.843753984,-0.7812485120000012,84.687497216,-39.0625024,19456
2.125e-07,39.843753984,0.7812515839999996,83.12499712,-40.625002496,19456
2.1300000000000001e-07,41.40625408,1.5359999991915174e-06,83.12499712,-40.625002496,19456
2.1350000000000003e-07,41.40625408,1.5359999991915174e-06,79.999996928,-39.0625024,19456
2.14e-07,41.40625408,-1.5624985600000016,81.56249702400001,-40.625002496,19456
2.1450000000000002e-07,39.843753984,-1.5624985600000016,79.999996928,-40.625002496,19456
2.15e-07,40.62500403199999,-1.5624985600000016,78.437496832,-39.0625024,19456
2.1550000000000002e-07,40.62500403199999,-1.5624985600000016,76.874996736,-39.0625024,19456
2.16e-07,39.843753984,-0.7812485120000012,75.31249664,-40.625002496,19456
2.165e-07,40.62500403199999,-0.7812485120000012,75.31249664,-39.0625024,19456
2.1700000000000002e-07,41.40625408,-0.7812485120000012,72.187496448,-39.0625024,19456
2.175e-07,42.187504128,-0.7812485120000012,70.62499635200001,-40.625002496,19456
2.1800000000000002e-07,42.968754176000004,1.5359999991915174e-06,72.187496448,-40.625002496,19456
2.185e-07,43.750004223999994,1.5359999991915174e-06,69.062496256,-40.625002496,19456
2.1900000000000002e-07,42.968754176000004,-0.7812485120000012,65.937496064,-39.0625024,19456
2.1950000000000003e-07,42.187504128,-1.5624985600000016,65.937496064,-37.500002304,19456
2.2e-07,42.968754176000004,-1.5624985600000016,64.37499596800001,-37.500002304,19456
2.2050000000000002e-07,43.750004223999994,-0.7812485120000012,61.249995776000006,-39.0625024,19456
2.21e-07,45.31250432,-1.5624985600000016,58.124995584000004,-39.0625024,19456
2.2150000000000002e-07,46.875004415999996,-1.5624985600000016,56.562495487999996,-35.937502208,19456
2.22e-07,46.09375436799999,-1.5624985600000016,56.562495487999996,-35.937502208,19456
2.2250000000000001e-07,45.31250432,-0.7812485120000012,53.43749529600001,-35.937502208,19456
2.2300000000000002e-07,46.09375436799999,-0.7812485120000012,51.8749952,-32.812502015999996,19456
2.235e-07,47.656254464,-0.7812485120000012,48.749995008,-31.25000192,19456
2.2400000000000002e-07,46.875004415999996,1.5359999991915174e-06,47.187494912000005,-31.25000192,18432
