Time (s),V_TANK_IN,I_PRI,V_TANK_OUT,I_SEC
7.200000000000001e-08,40.62496512000001,0.9999996927999999,-46.874984960000006,0.8125005312000004
7.250000000000001e-08,40.62496512000001,1.0624996863999998,-46.874984960000006,0.8125005312000004
7.3e-08,40.62496512000001,1.0624996863999998,-43.749985280000004,0.7500005376000001
7.35e-08,40.62496512000001,1.0624996863999998,-43.749985280000004,0.7500005376000001
7.4e-08,40.62496512000001,0.9999996927999999,-43.749985280000004,0.6875005440000006
7.45e-08,40.62496512000001,0.9999996927999999,-43.749985280000004,0.6875005440000006
7.500000000000001e-08,40.62496512000001,0.9999996927999999,-40.6249856,0.6250005504000002
7.550000000000001e-08,37.49996544000004,0.9999996927999999,-43.749985280000004,0.6250005504000002
7.6e-08,43.74996480000004,0.9999996927999999,-43.749985280000004,0.6250005504000002
7.65e-08,40.62496512000001,1.1249996799999997,-40.6249856,0.5625005567999999
7.7e-08,40.62496512000001,0.9999996927999999,-34.37498624,0.5625005567999999
7.75e-08,40.62496512000001,1.1249996799999997,-37.49998592,0.5625005567999999
7.800000000000001e-08,37.49996544000004,1.0624996863999998,-34.37498624,0.5000005632000004
7.850000000000001e-08,43.74996480000004,1.0624996863999998,-37.49998592,0.5000005632000004
7.9e-08,40.62496512000001,1.1249996799999997,-31.249986559999996,0.5000005632000004
7.95e-08,43.74996480000004,1.0624996863999998,-31.249986559999996,0.5000005632000004
8e-08,46.87496448000002,0.9999996927999999,-34.37498624,0.43750056960000006
8.05e-08,43.74996480000004,1.0624996863999998,-31.249986559999996,0.43750056960000006
8.100000000000001e-08,43.74996480000004,1.0624996863999998,-28.124986879999994,0.3750005760000006
8.150000000000001e-08,43.74996480000004,1.1249996799999997,-21.874987520000005,0.43750056960000006
8.2e-08,43.74996480000004,1.0624996863999998,-28.124986879999994,0.3750005760000006
8.25e-08,43.74996480000004,1.0624996863999998,-24.999987200000007,0.3125005824000002
8.3e-08,43.74996480000004,1.0624996863999998,-21.874987520000005,0.25000058879999987
8.35e-08,40.62496512000001,0.9999996927999999,-24.999987200000007,0.25000058879999987
8.400000000000001e-08,43.74996480000004,0.9999996927999999,-21.874987520000005,0.25000058879999987
8.450000000000001e-08,40.62496512000001,0.9999996927999999,-21.874987520000005,0.1875005952000004
8.500000000000001e-08,40.62496512000001,0.9999996927999999,-18.749987840000003,0.1875005952000004
