Time (s),VGS_A,VGS_B,VDS_A,VDS_B,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN""]"
2.74e-07,3.7968753407999998,-0.18749990400000005,-1.8749957120000005,48.124999168,768
2.7450000000000003e-07,4.10937536,-0.3437499136000002,-0.624995840000004,47.499999232,768
2.75e-07,4.3437503744,-0.3437499136000002,-1.2499957760000058,46.874999296,768
2.755e-07,4.578125388799999,-0.1093748992000001,-1.8749957120000005,46.249999360000004,768
2.7600000000000004e-07,4.6562503936,0.04687511039999981,-1.8749957120000005,46.249999360000004,768
2.765e-07,4.8125004032,0.04687511039999981,-1.2499957760000058,46.874999296,768
2.77e-07,4.9687504127999995,-0.18749990400000005,-1.8749957120000005,46.249999360000004,768
2.7750000000000004e-07,5.2031254272,-0.2656249088,-1.8749957120000005,46.249999360000004,768
2.7800000000000003e-07,5.3593754368,-0.18749990400000005,-1.8749957120000005,45.624999424,768
2.785e-07,5.3593754368,0.04687511039999981,-0.624995840000004,43.749999616,768
2.79e-07,5.5156254464,0.20312511999999994,-2.4999956480000023,43.12499968,768
2.7950000000000003e-07,5.593750451199999,0.12500011519999976,-1.8749957120000005,43.12499968,768
2.8e-07,5.750000460799999,-0.18749990400000005,-1.8749957120000005,44.374999552,768
2.805e-07,5.6718754559999995,-0.2656249088,-1.2499957760000058,43.749999616,768
2.8100000000000004e-07,5.593750451199999,-0.2656249088,-1.8749957120000005,44.999999488,768
2.815e-07,5.437500441599999,-0.1093748992000001,-1.8749957120000005,44.999999488,768
2.82e-07,5.3593754368,0.04687511039999981,-2.4999956480000023,43.12499968,768
2.825e-07,5.2031254272,-0.1093748992000001,-0.624995840000004,42.499999744,768
2.8300000000000003e-07,5.2031254272,-0.2656249088,-1.2499957760000058,42.499999744,768
2.835e-07,5.125000422399999,-0.18749990400000005,-2.4999956480000023,43.749999616,768
2.84e-07,4.9687504127999995,-0.18749990400000005,-1.8749957120000005,43.749999616,768
2.8450000000000004e-07,4.9687504127999995,-0.1093748992000001,-1.2499957760000058,42.499999744,768
2.85e-07,4.8125004032,-0.1093748992000001,-1.2499957760000058,42.499999744,768
2.855e-07,4.9687504127999995,-0.2656249088,-1.2499957760000058,43.12499968,768
2.86e-07,4.8125004032,-0.3437499136000002,-1.8749957120000005,42.499999744,768
2.8650000000000003e-07,4.6562503936,-0.031249894400000144,-0.624995840000004,42.499999744,768
2.87e-07,4.6562503936,0.12500011519999976,-1.2499957760000058,42.499999744,768
2.875e-07,4.578125388799999,0.20312511999999994,-1.2499957760000058,42.499999744,768
2.8800000000000004e-07,4.578125388799999,-0.031249894400000144,-1.2499957760000058,42.499999744,768
2.885e-07,4.421875379199999,-0.18749990400000005,-1.8749957120000005,43.749999616,768
2.89e-07,4.500000384,-0.3437499136000002,-1.8749957120000005,44.374999552,768
2.895e-07,4.578125388799999,-0.18749990400000005,-1.8749957120000005,44.999999488,768
2.9000000000000003e-07,4.578125388799999,0.04687511039999981,-1.8749957120000005,44.374999552,768
2.905e-07,4.578125388799999,0.12500011519999976,-1.2499957760000058,44.999999488,768
2.91e-07,4.6562503936,-0.031249894400000144,-1.8749957120000005,44.374999552,768
2.9150000000000004e-07,4.734375398399999,-0.18749990400000005,-1.2499957760000058,45.624999424,768
2.92e-07,4.6562503936,-0.1093748992000001,-1.2499957760000058,46.249999360000004,768
2.925e-07,4.8125004032,-0.031249894400000144,4.0959999978440464e-06,46.249999360000004,768
2.9300000000000004e-07,4.734375398399999,-0.031249894400000144,-1.2499957760000058,46.249999360000004,768
2.9350000000000003e-07,4.8125004032,-0.1093748992000001,-1.2499957760000058,46.874999296,768
