Time (s),V_TANK_IN,I_PRI,V_TANK_OUT,I_SEC
3.1550000000000004e-07,-53.12502527999999,-0.8125001216000001,-10.937503743999997,0.25000058879999987
3.16e-07,-53.12502527999999,-0.8125001216000001,-12.500003839999998,0.25000058879999987
3.165e-07,-50.00002559999999,-0.7500001279999999,-17.187504128,0.25000058879999987
3.1700000000000005e-07,-50.00002559999999,-0.7500001279999999,-18.750004223999994,0.25000058879999987
3.1750000000000003e-07,-50.00002559999999,-0.8125001216000001,-20.312504320000002,0.3125005824000002
3.18e-07,-50.00002559999999,-0.7500001279999999,-25.000004607999998,0.25000058879999987
3.185e-07,-46.875025919999985,-0.7500001279999999,-26.56250470399999,0.3125005824000002
3.1900000000000004e-07,-43.75002624000001,-0.7500001279999999,-28.1250048,0.3125005824000002
3.195e-07,-43.75002624000001,-0.6875001344,-31.250004992,0.3125005824000002
3.2e-07,-43.75002624000001,-0.6875001344,-35.937505279999996,0.3125005824000002
3.2050000000000004e-07,-43.75002624000001,-0.6875001344,-37.50000537599999,0.3750005760000006
3.2100000000000003e-07,-40.62502655999998,-0.6250001408000001,-35.937505279999996,0.43750056960000006
3.215e-07,-34.37502719999998,-0.6250001408000001,-39.062505472,0.43750056960000006
3.22e-07,-31.250027520000003,-0.6250001408000001,-40.62500556799999,0.43750056960000006
3.2250000000000004e-07,-25.00002816,-0.6250001408000001,-40.62500556799999,0.43750056960000006
3.23e-07,-31.250027520000003,-0.5625001472,-40.62500556799999,0.5000005632000004
3.235e-07,-25.00002816,-0.5625001472,-40.62500556799999,0.5000005632000004
3.2400000000000004e-07,-25.00002816,-0.5000001536,-42.187505664,0.5625005567999999
3.2450000000000003e-07,-21.87502847999997,-0.5000001536,-43.75000575999999,0.5625005567999999
3.25e-07,-18.750028799999995,-0.43750016000000014,-42.187505664,0.6250005504000002
3.255e-07,-12.500029439999992,-0.5000001536,-42.187505664,0.5625005567999999
3.2600000000000003e-07,-12.500029439999992,-0.43750016000000014,-42.187505664,0.6875005440000006
3.265e-07,-12.500029439999992,-0.43750016000000014,-39.062505472,0.6875005440000006
3.27e-07,-6.250030079999988,-0.43750016000000014,-39.062505472,0.6250005504000002
3.2750000000000004e-07,-6.250030079999988,-0.3750001664,-39.062505472,0.6250005504000002
3.28e-07,-3.1250303999999574,-0.3750001664,-39.062505472,0.6875005440000006
3.285e-07,-3.071999998383035e-05,-0.3750001664,-40.62500556799999,0.6875005440000006
