ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A,V_DS_B,MR_FREQ,V_MR_PP,V_SEC_PP
61.0,24.990015,1.43480586,35.855819963487896,44.11174,0.7228482,31.88839,59.0,58.0,13400000.0,114.0,10.3
61.5,24.990002,1.44429188,36.09285696978376,44.44055,0.7227941,32.123,59.0,59.0,13600000.0,113.0,10.3
61.68502750680849,24.990048,1.44834216,36.19414009882368,44.5824,0.7228875,32.23009,59.0,59.0,13600000.0,113.0,10.3
62.0,24.990086,1.45445409,36.34693279215174,44.79763,0.7226032,32.37243,60.0,59.0,13600000.0,114.0,10.3
62.5,24.990197,1.46475621,36.60454624487337,45.16031,0.7225234,32.62816,59.0,59.0,13500000.0,114.0,10.3
63.0,24.990383,1.47506307,36.862391068455814,45.52442,0.7221688,32.87738,59.0,59.0,13500000.0,116.0,10.3
63.5,24.990501,1.48415279,37.089721782647786,45.85271,0.7217913,33.09294,59.0,58.0,13500000.0,114.0,10.6
64.0,24.990442,1.49393827,37.33417768801534,46.1974,0.7215217,33.33915,59.0,59.0,13700000.0,113.0,10.6
64.5,24.990458,1.5011873,37.5153581707834,46.45859,0.7213193,33.51223,59.0,59.0,13600000.0,114.0,10.8
65.0,24.990298,1.51333437,37.81867687994226,46.89387,0.7212793,33.82111,59.0,58.0,13400000.0,113.0,10.6
65.5,24.990364,1.52110999,38.01309233413636,47.17652,0.7208477,34.0074,59.0,58.0,13500000.0,114.0,10.8
66.0,24.990273,1.53224289,38.291168123408966,47.57138,0.7205355,34.27659,59.0,57.0,13600000.0,113.0,10.8
66.5,24.990282,1.54122651,38.51568511077582,47.90213,0.7203543,34.50428,59.0,58.0,13500000.0,114.0,11.1
67.0,24.990248,1.55121475,38.765241303758,48.26341,0.7199774,34.75105,59.0,58.0,13600000.0,114.0,10.9
67.5,24.990076,1.56117901,39.01398210950476,48.6231,0.7199633,35.00216,58.0,58.0,13600000.0,113.0,11.1
68.0,24.989961,1.57024202,39.24028684036122,48.94676,0.7196026,35.21214,59.0,58.0,13500000.0,114.0,11.3
68.5,24.989823,1.57984819,39.480126634970375,49.28182,0.7192393,35.44588,58.0,58.0,13600000.0,114.0,11.1
69.0,24.989723,1.58893964,39.70716146731972,49.62482,0.7188303,35.68409,58.0,58.0,13500000.0,114.0,11.3
69.5,24.989404,1.59650201,39.89563371470204,49.9016,0.718553,35.85303,59.0,58.0,13600000.0,113.0,11.4
70.0,24.989241,1.60655682,40.14663555517362,50.26185,0.7183644,36.11285,58.0,57.0,13600000.0,114.0,11.4
70.5,24.9894,1.61641236,40.393175028984,50.61873,0.7178558,36.33717,58.0,58.0,13600000.0,114.0,11.4
71.0,24.989138,1.62642339,40.642918539137824,50.98288,0.7174935,36.58097,59.0,57.0,13600000.0,114.0,11.6
71.5,24.989131,1.63571223,40.875027193772134,51.33677,0.7174437,36.8289,58.0,58.0,13500000.0,113.0,11.6
72.0,24.988932,1.64500824,41.10699904879967,51.65165,0.7169403,37.04528,58.0,58.0,13500000.0,114.0,11.6
72.5,24.988555,1.65349359,41.318415515862455,51.96444,0.7166341,37.23596,58.0,57.0,13400000.0,113.0,11.7
73.0,24.988807,1.66096195,41.50545760289365,52.24263,0.7164876,37.43531,59.0,57.0,13500000.0,113.0,11.7
73.5,24.98927,1.67076867,41.751289402170904,52.60248,0.7157021,37.64816,58.0,57.0,13500000.0,114.0,12.0
74.0,24.987736,1.68039039,41.98915144225704,52.95752,0.7153329,37.88735,58.0,56.0,13700000.0,113.0,12.0
74.5,24.980643,1.68762084,42.157853723400116,53.23819,0.714513,38.03564,58.0,57.0,13400000.0,113.0,12.0
