Time (s),V_MR
4.6500000000000006e-08,1.2812500230400001
4.7000000000000004e-08,1.2812500230400001
4.75e-08,1.25000002112
4.8000000000000006e-08,1.20312501824
4.8500000000000004e-08,1.17187501632
4.9e-08,1.1406250144
4.95e-08,1.12500001344
5.0000000000000004e-08,1.1406250144
5.05e-08,1.10937501248
5.1e-08,1.0625000096
5.1500000000000005e-08,1.03125000768
5.2e-08,1.0156250067200001
5.25e-08,1.0156250067200001
5.3000000000000005e-08,1.04687500864
5.35e-08,1.04687500864
5.4e-08,1.03125000768
5.4500000000000005e-08,0.96875000384
5.5e-08,0.92187500096
5.55e-08,0.92187500096
5.6000000000000005e-08,0.92187500096
5.65e-08,0.92187500096
5.7e-08,0.90625
5.7500000000000005e-08,0.87499999808
5.8e-08,0.85937499712
5.85e-08,0.87499999808
5.9000000000000006e-08,0.90625
5.9500000000000003e-08,0.92187500096
6.000000000000001e-08,0.90625
6.05e-08,0.89062499904
6.1e-08,0.84374999616
6.15e-08,0.84374999616
6.2e-08,0.85937499712
6.250000000000001e-08,0.85937499712
6.300000000000001e-08,0.85937499712
6.35e-08,0.84374999616
6.4e-08,0.84374999616
6.45e-08,0.87499999808
6.5e-08,0.85937499712
6.55e-08,0.85937499712
6.600000000000001e-08,0.89062499904
6.65e-08,0.87499999808
6.7e-08,0.87499999808
6.75e-08,0.85937499712
6.8e-08,0.85937499712
6.85e-08,0.89062499904
6.900000000000001e-08,0.87499999808
6.950000000000001e-08,0.87499999808
7e-08,0.90625
7.05e-08,0.90625
7.1e-08,0.92187500096
7.15e-08,0.93750000192
7.200000000000001e-08,0.95312500288
7.250000000000001e-08,0.95312500288
7.3e-08,0.95312500288
7.35e-08,0.95312500288
7.4e-08,0.95312500288
7.45e-08,0.96875000384
7.500000000000001e-08,0.9843750048
7.550000000000001e-08,1.00000000576
7.6e-08,1.0156250067200001
7.65e-08,1.04687500864
7.7e-08,1.07812501056
7.75e-08,1.10937501248
7.800000000000001e-08,1.10937501248
7.850000000000001e-08,1.10937501248
7.9e-08,1.07812501056
7.95e-08,1.0625000096
8e-08,1.09375001152
8.05e-08,1.12500001344
8.100000000000001e-08,1.18750001728
8.150000000000001e-08,1.25000002112
8.2e-08,1.25000002112
8.25e-08,1.26562502208
8.3e-08,1.25000002112
8.35e-08,1.23437502016
8.400000000000001e-08,1.23437502016
8.450000000000001e-08,1.25000002112
8.500000000000001e-08,1.2812500230400001
8.55e-08,1.31250002496
8.6e-08,1.35937502784
8.65e-08,1.39062502976
8.700000000000001e-08,1.39062502976
8.750000000000001e-08,1.42187503168
8.800000000000001e-08,1.42187503168
8.85e-08,1.4062500307199999
8.9e-08,1.4062500307199999
8.95e-08,1.42187503168
9.000000000000001e-08,1.43750003264
9.050000000000001e-08,1.4843750355199998
9.100000000000001e-08,1.5312500384
9.15e-08,1.5468750393600001
9.2e-08,1.56250004032
9.25e-08,1.56250004032
9.300000000000001e-08,1.56250004032
9.350000000000001e-08,1.5781250412799999
9.400000000000001e-08,1.59375004224
9.45e-08,1.6093750432
9.5e-08,1.6093750432
9.55e-08,1.64062504512
9.600000000000001e-08,1.65625004608
9.650000000000001e-08,1.70312504896
9.700000000000001e-08,1.7187500499200001
9.75e-08,1.70312504896
9.8e-08,1.687500048
9.85e-08,1.70312504896
9.9e-08,1.687500048
9.950000000000001e-08,1.7187500499200001
