Time (s),V_DSA-V_DSB
1.2600000000000002e-07,-0.1562500096
1.265e-07,-0.3125000192
1.27e-07,-0.3125000192
1.275e-07,-0.1562500096
1.28e-07,-0.3125000192
1.2850000000000002e-07,-0.1562500096
1.29e-07,-0.3125000192
1.2950000000000001e-07,-0.3125000192
1.3e-07,-0.3125000192
1.305e-07,-0.1562500096
1.31e-07,-0.3125000192
1.315e-07,-0.1562500096
1.3200000000000002e-07,-0.1562500096
1.325e-07,0.0
1.33e-07,-0.1562500096
1.335e-07,-0.3125000192
1.34e-07,-0.1562500096
1.3450000000000002e-07,-0.1562500096
1.35e-07,-0.1562500096
1.3550000000000002e-07,-0.1562500096
1.36e-07,-0.1562500096
1.365e-07,-0.3125000192
1.37e-07,-0.3125000192
1.375e-07,-0.1562500096
1.3800000000000002e-07,0.0
1.385e-07,-0.1562500096
1.3900000000000001e-07,-0.1562500096
1.395e-07,-0.1562500096
1.4e-07,-0.1562500096
1.4050000000000002e-07,-0.1562500096
1.41e-07,-0.1562500096
1.4150000000000002e-07,-0.1562500096
1.42e-07,-0.1562500096
1.425e-07,0.0
1.43e-07,-0.3125000192
1.435e-07,-0.1562500096
1.4400000000000002e-07,-0.1562500096
1.445e-07,-0.1562500096
1.4500000000000001e-07,-0.3125000192
1.455e-07,-0.1562500096
1.46e-07,-0.1562500096
1.4650000000000002e-07,-0.1562500096
1.47e-07,-0.3125000192
1.4750000000000002e-07,-0.1562500096
1.48e-07,-0.3125000192
1.485e-07,-0.3125000192
1.49e-07,0.0
1.495e-07,-0.1562500096
1.5000000000000002e-07,-0.1562500096
1.505e-07,-0.1562500096
1.5100000000000002e-07,-0.1562500096
1.515e-07,-0.1562500096
1.52e-07,-0.1562500096
1.5250000000000002e-07,-0.1562500096
1.53e-07,-0.3125000192
1.5350000000000002e-07,-0.1562500096
1.54e-07,-0.1562500096
1.5450000000000001e-07,0.0
1.55e-07,-0.3125000192
1.555e-07,-0.1562500096
1.5600000000000002e-07,-0.1562500096
1.565e-07,-0.1562500096
1.5700000000000002e-07,-0.3125000192
1.575e-07,-0.3125000192
1.58e-07,-0.1562500096
1.5850000000000002e-07,0.0
1.59e-07,-0.1562500096
1.5950000000000002e-07,-0.1562500096
1.6e-07,-0.1562500096
1.6050000000000001e-07,-0.1562500096
1.61e-07,-0.3125000192
1.615e-07,-0.1562500096
1.6200000000000002e-07,-0.1562500096
1.625e-07,-0.1562500096
1.6300000000000002e-07,-0.1562500096
1.635e-07,-0.1562500096
1.64e-07,-0.1562500096
1.645e-07,-0.1562500096
1.65e-07,-0.1562500096
1.6550000000000002e-07,-0.3125000192
1.66e-07,-0.1562500096
1.6650000000000002e-07,-0.3125000192
1.67e-07,-0.3125000192
1.675e-07,-0.1562500096
1.6800000000000002e-07,-0.1562500096
1.685e-07,-0.1562500096
1.6900000000000002e-07,-0.46875002879999994
1.695e-07,-0.3125000192
1.7000000000000001e-07,-0.1562500096
1.705e-07,-0.1562500096
1.71e-07,-0.3125000192
1.7150000000000002e-07,-0.1562500096
1.72e-07,-0.1562500096
1.7250000000000002e-07,-0.3125000192
1.73e-07,-0.3125000192
1.735e-07,-0.1562500096
1.7400000000000002e-07,-0.1562500096
1.745e-07,-0.1562500096
1.7500000000000002e-07,-0.1562500096
1.755e-07,0.0
1.7600000000000001e-07,-0.1562500096
1.765e-07,-0.1562500096
1.77e-07,-0.3125000192
1.7750000000000002e-07,-0.3125000192
1.78e-07,-0.1562500096
1.7850000000000002e-07,-0.1562500096
1.79e-07,-0.1562500096
1.795e-07,-0.3125000192
1.8000000000000002e-07,-0.1562500096
1.805e-07,-0.1562500096
1.8100000000000002e-07,-0.1562500096
1.815e-07,-0.3125000192
1.8200000000000002e-07,-0.1562500096
1.825e-07,-0.1562500096
1.83e-07,-0.1562500096
1.8350000000000002e-07,-0.1562500096
1.84e-07,-0.1562500096
1.8450000000000002e-07,-0.3125000192
1.85e-07,-0.3125000192
1.8550000000000001e-07,-0.3125000192
1.8600000000000002e-07,-0.1562500096
1.865e-07,-0.1562500096
1.8700000000000002e-07,-0.3125000192
1.875e-07,-0.1562500096
1.8800000000000002e-07,-0.3125000192
1.885e-07,-0.1562500096
1.89e-07,-0.1562500096
1.8950000000000002e-07,-0.3125000192
1.9e-07,-0.3125000192
1.9050000000000002e-07,-0.3125000192
1.91e-07,-0.1562500096
1.9150000000000001e-07,-0.1562500096
1.9200000000000003e-07,-0.3125000192
1.925e-07,-0.3125000192
1.9300000000000002e-07,-0.3125000192
1.935e-07,-0.1562500096
1.9400000000000002e-07,-0.1562500096
1.945e-07,-0.1562500096
1.95e-07,-0.3125000192
1.9550000000000002e-07,-0.1562500096
1.96e-07,-0.1562500096
1.9650000000000002e-07,-0.1562500096
1.97e-07,-0.3125000192
1.9750000000000001e-07,-0.3125000192
1.98e-07,-0.1562500096
1.985e-07,-0.1562500096
1.9900000000000002e-07,-0.1562500096
1.995e-07,-0.1562500096
2.0000000000000002e-07,-0.1562500096
2.005e-07,-0.1562500096
2.01e-07,-0.3125000192
2.0150000000000002e-07,-0.3125000192
2.02e-07,-0.1562500096
2.0250000000000002e-07,-0.1562500096
2.03e-07,-0.1562500096
2.0350000000000002e-07,0.0
2.04e-07,-0.1562500096
2.045e-07,-0.1562500096
2.0500000000000002e-07,-0.3125000192
2.055e-07,-0.1562500096
2.0600000000000002e-07,-0.1562500096
2.065e-07,0.0
2.0700000000000001e-07,-0.1562500096
2.0750000000000003e-07,-0.1562500096
2.08e-07,-0.1562500096
