Time (s),VGS_A,VGS_B,VDS_A,VDS_B
2.7950000000000003e-07,4.8749993216,-0.18750016000000014,-1.8749957120000005,48.749999104
2.8e-07,4.8749993216,-0.06250017280000009,-2.4999956480000023,48.124999168
2.805e-07,4.8749993216,-0.06250017280000009,-2.4999956480000023,48.749999104
2.8100000000000004e-07,4.9999993088,-0.1250001664,-1.8749957120000005,49.37499904
2.815e-07,4.8749993216,-0.18750016000000014,-1.2499957760000058,48.124999168
2.82e-07,4.7499993344,-0.25000015360000005,-2.4999956480000023,46.874999296
2.825e-07,4.6874993408,-0.18750016000000014,-2.4999956480000023,45.624999424
2.8300000000000003e-07,4.8124993279999995,-0.06250017280000009,-2.4999956480000023,45.624999424
2.835e-07,4.8124993279999995,-0.1250001664,-1.8749957120000005,46.874999296
2.84e-07,4.8124993279999995,-0.1250001664,-3.124995584000004,47.499999232
2.8450000000000004e-07,4.6874993408,-0.1250001664,-3.124995584000004,46.249999360000004
2.85e-07,4.7499993344,-0.18750016000000014,-3.124995584000004,45.624999424
2.855e-07,4.8749993216,-0.1250001664,-2.4999956480000023,44.374999552
2.86e-07,4.9374993152,-1.7920000017213056e-07,-2.4999956480000023,44.999999488
2.8650000000000003e-07,5.0624993024,-1.7920000017213056e-07,-1.8749957120000005,44.999999488
2.87e-07,4.9374993152,-0.18750016000000014,-2.4999956480000023,44.374999552
2.875e-07,4.8124993279999995,-0.1250001664,-1.8749957120000005,43.749999616
2.8800000000000004e-07,4.8749993216,-0.06250017280000009,-1.8749957120000005,43.12499968
2.885e-07,4.8749993216,-1.7920000017213056e-07,-2.4999956480000023,43.12499968
2.89e-07,4.9999993088,-0.06250017280000009,-1.8749957120000005,44.999999488
2.895e-07,4.8749993216,-0.1250001664,-1.2499957760000058,44.999999488
2.9000000000000003e-07,4.7499993344,-0.18750016000000014,-1.8749957120000005,43.12499968
2.905e-07,4.7499993344,-0.1250001664,-1.8749957120000005,42.499999744
2.91e-07,4.9374993152,-0.1250001664,-1.8749957120000005,42.499999744
2.9150000000000004e-07,4.9999993088,-0.06250017280000009,-1.2499957760000058,43.749999616
2.92e-07,5.0624993024,-0.1250001664,-2.4999956480000023,44.999999488
2.925e-07,4.9999993088,-0.18750016000000014,-1.2499957760000058,44.374999552
2.9300000000000004e-07,4.9374993152,-0.18750016000000014,-2.4999956480000023,43.749999616
2.9350000000000003e-07,4.9999993088,-0.1250001664,-2.4999956480000023,42.499999744
2.94e-07,4.8749993216,-1.7920000017213056e-07,-2.4999956480000023,43.12499968
2.945e-07,4.9999993088,-0.1250001664,-2.4999956480000023,44.374999552
2.9500000000000003e-07,4.8124993279999995,-0.18750016000000014,-2.4999956480000023,44.374999552
2.955e-07,4.7499993344,-0.18750016000000014,-1.8749957120000005,43.749999616
2.96e-07,4.7499993344,-0.06250017280000009,-1.8749957120000005,43.749999616
2.9650000000000004e-07,4.8124993279999995,0.062499814399999964,-2.4999956480000023,43.749999616
2.97e-07,4.9374993152,-1.7920000017213056e-07,-1.8749957120000005,45.624999424
2.975e-07,4.8749993216,-1.7920000017213056e-07,-1.2499957760000058,46.249999360000004
2.98e-07,4.8124993279999995,-0.18750016000000014,-2.4999956480000023,44.999999488
2.9850000000000003e-07,4.8124993279999995,-0.18750016000000014,-2.4999956480000023,44.374999552
2.99e-07,4.9374993152,-0.06250017280000009,-1.8749957120000005,44.374999552
2.995e-07,4.9999993088,-1.7920000017213056e-07,-0.624995840000004,45.624999424
3.0000000000000004e-07,4.9374993152,-1.7920000017213056e-07,-2.4999956480000023,46.249999360000004
3.005e-07,4.8749993216,-0.06250017280000009,-2.4999956480000023,46.249999360000004
3.01e-07,4.7499993344,-0.1250001664,-1.8749957120000005,46.249999360000004
3.015e-07,4.8124993279999995,-0.06250017280000009,-1.8749957120000005,45.624999424
3.0200000000000003e-07,4.7499993344,-1.7920000017213056e-07,-2.4999956480000023,46.249999360000004
3.025e-07,4.8749993216,-0.06250017280000009,-2.4999956480000023,47.499999232
3.03e-07,4.8124993279999995,-0.18750016000000014,-2.4999956480000023,48.124999168
3.0350000000000004e-07,4.8124993279999995,-0.18750016000000014,-1.8749957120000005,48.124999168
3.04e-07,4.8124993279999995,-0.1250001664,-2.4999956480000023,47.499999232
3.045e-07,4.8749993216,-0.1250001664,-2.4999956480000023,48.124999168
3.0500000000000004e-07,4.9374993152,-0.06250017280000009,-1.8749957120000005,48.124999168
3.0550000000000003e-07,4.8749993216,-0.1250001664,-1.2499957760000058,48.749999104
3.06e-07,4.8749993216,-0.18750016000000014,-2.4999956480000023,48.124999168
3.065e-07,4.8749993216,-0.06250017280000009,-2.4999956480000023,48.124999168
3.0700000000000004e-07,4.8749993216,-0.06250017280000009,-2.4999956480000023,48.749999104
3.075e-07,4.6874993408,-1.7920000017213056e-07,-1.2499957760000058,48.749999104
3.08e-07,4.1249993984,-0.06250017280000009,-1.8749957120000005,48.749999104
3.0850000000000004e-07,2.9999995135999997,-0.06250017280000009,-1.8749957120000005,48.749999104
3.0900000000000003e-07,2.5624995584,-0.18750016000000014,-2.4999956480000023,48.749999104
3.095e-07,2.6874995455999997,-0.06250017280000009,-1.8749957120000005,48.749999104
3.1e-07,2.5624995584,0.062499814399999964,-2.4999956480000023,48.749999104
3.1050000000000003e-07,2.1249996032,-1.7920000017213056e-07,-1.8749957120000005,48.749999104
3.11e-07,1.4374996736,-0.06250017280000009,-2.4999956480000023,48.749999104
3.115e-07,0.7499997440000001,-0.06250017280000009,-1.8749957120000005,48.124999168
3.1200000000000004e-07,-0.1250001664,-0.1250001664,-1.8749957120000005,48.124999168
3.125e-07,-0.8125000960000001,-0.06250017280000009,-2.4999956480000023,48.124999168
3.13e-07,-1.3125000448000002,-1.7920000017213056e-07,-1.8749957120000005,48.124999168
3.135e-07,-1.6875000064,-0.06250017280000009,-1.8749957120000005,48.124999168
3.1400000000000003e-07,-1.8749999872,-0.1250001664,-2.4999956480000023,47.499999232
3.145e-07,-1.9999999744,-0.18750016000000014,-1.8749957120000005,46.249999360000004
3.15e-07,-1.9374999808,-0.1250001664,-2.4999956480000023,45.624999424
3.1550000000000004e-07,-1.8124999936,-0.06250017280000009,-1.8749957120000005,46.249999360000004
3.16e-07,-1.5000000256,-1.7920000017213056e-07,-3.124995584000004,44.999999488
3.165e-07,-0.9375000832,-0.06250017280000009,-2.4999956480000023,44.374999552
3.1700000000000005e-07,-0.3750001408000001,-0.1250001664,-2.4999956480000023,44.374999552
3.1750000000000003e-07,0.062499814399999964,-0.1250001664,-2.4999956480000023,43.749999616
3.18e-07,0.31249978879999984,-1.7920000017213056e-07,-2.4999956480000023,42.499999744
3.185e-07,0.4374997760000001,-1.7920000017213056e-07,-1.8749957120000005,41.874999808
3.1900000000000004e-07,0.37499978239999976,-0.1250001664,-1.8749957120000005,40.624999936
3.195e-07,0.49999976960000003,-0.06250017280000009,0.6250040319999997,39.375000064
3.2e-07,0.6249997567999999,-0.1250001664,1.2500039680000015,38.750000127999996
3.2050000000000004e-07,0.8749997312,-0.06250017280000009,3.7500037119999945,38.125000192
3.2100000000000003e-07,0.8749997312,-0.06250017280000009,6.875003391999996,37.500000256
3.215e-07,0.49999976960000003,-0.06250017280000009,8.750003199999998,36.87500032
3.22e-07,0.12499980799999988,-1.7920000017213056e-07,9.375003135999997,35.625000448
