Name,VDS_A,,,Name,VDS_B,,,Name,V_MR,,,Name,VOUT_RF,,,
659898.47715736,-84.2621765136719,-95.0802612304688,,659898.47715736,-83.2643890380859,-95.3219909667969,,659898.47715736,1.40211927444387E-05,2.65479071625243E-06,,659898.47715736,23.1757504583993,9.528472626368,,
710659.898477157,-84.7564392089844,-93.4033050537109,,710659.898477157,-84.368293762207,-95.9462203979492,,710659.898477157,1.59168727358236E-05,2.96024706168774E-06,,710659.898477157,22.5013577582039,11.3617856146493,,
761421.319796954,-84.633659362793,-96.0435180664063,,761421.319796954,-84.8919143676758,-95.4457244873047,,761421.319796954,1.41492916007576E-05,3.19481440904895E-06,,761421.319796954,23.2375332953133,11.1024090887703,,
812182.741116751,-85.3506393432617,-97.2036666870117,,812182.741116751,-85.0976486206055,-95.409065246582,,812182.741116751,1.03578643594802E-05,3.16795737094445E-06,,812182.741116751,22.4644314886727,8.30835696474691,,
862944.162436548,-84.1775360107422,-97.9404067993164,,862944.162436548,-86.0309143066406,-98.7214126586914,,862944.162436548,1.16131330953623E-05,2.91612645131843E-06,,862944.162436548,21.2827679754891,9.60248538271566,,
913705.583756345,-86.3348159790039,-97.7747573852539,,913705.583756345,-85.6396560668945,-98.7418670654297,,913705.583756345,1.0446446115706E-05,3.67058273418586E-06,,913705.583756345,21.9332043768563,7.3345028998055,,
964467.005076142,-79.9190292358398,-90.0864944458008,,964467.005076142,-78.0781021118164,-87.3998260498047,,964467.005076142,2.43633095891422E-05,5.86180405950883E-06,,964467.005076142,25.8751294256844,16.3523022772469,,
1015228.42639594,-87.0134658813477,-97.4603881835938,,1015228.42639594,-87.5818405151367,-96.6768188476563,,1015228.42639594,1.05899227797958E-05,2.71430462155619E-06,,1015228.42639594,19.536773407618,7.28971835390706,,
1065989.84771574,-86.7143096923828,-97.5367202758789,,1065989.84771574,-87.4586715698242,-97.9240798950195,,1065989.84771574,1.04110143131609E-05,2.38082603317356E-06,,1065989.84771574,19.0302884222664,6.53775759951253,,
1116751.26903553,-86.3676071166992,-98.3071060180664,,1116751.26903553,-87.5032043457031,-100.628326416016,,1116751.26903553,8.14151394784303E-06,2.51050996283194E-06,,1116751.26903553,20.3820035101571,6.67662783877034,,
1167512.69035533,-88.8563079833984,-99.1732711791992,,1167512.69035533,-87.5053405761719,-100.593246459961,,1167512.69035533,9.45078031825805E-06,1.84152620718202E-06,,1167512.69035533,18.0650021673836,7.98689242617269,,
1218274.11167513,-87.9576034545898,-100.26392364502,,1218274.11167513,-88.4653091430664,-97.9922027587891,,1218274.11167513,8.9050360656939E-06,1.79976824469849E-06,,1218274.11167513,19.5071560980477,6.00764437929769,,
1269035.53299492,-88.0287017822266,-98.7221450805664,,1269035.53299492,-89.4149856567383,-103.054252624512,,1269035.53299492,7.62245627428745E-06,1.8840792580856E-06,,1269035.53299492,17.4758755804696,8.53393527285238,,
1319796.95431472,-89.2374725341797,-100.553405761719,,1319796.95431472,-90.0076293945313,-101.302673339844,,1319796.95431472,7.96673183323698E-06,1.89728351920664E-06,,1319796.95431472,18.2576901556649,5.94818087832113,,
1370558.37563452,-88.4916229248047,-102.146408081055,,1370558.37563452,-89.4552612304688,-100.232116699219,,1370558.37563452,7.85737337831207E-06,1.46949859694824E-06,,1370558.37563452,17.0147397162118,3.66914340273519,,
