ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
56.5,24.933281,0.120551507,3.0057445990044673,0.04890113,0.001465118,-8.110963e-06,7.5,4.88,5.5,4.88,-2.0,0.0,7.19,5.0,5.5,4.88,-1.69,-0.13,58.1,52.5,51.9,51.9,-5.0,-1.9,56.3
57.0,24.933834,0.120551044,3.005799719622696,0.04926014,0.00142073,-1.204573e-05,7.44,4.88,5.5,4.94,-2.0,0.06,7.19,4.94,5.5,4.94,-1.69,-0.13,57.5,52.5,51.9,50.6,-5.6,-1.9,56.9
57.5,24.933444,0.120560187,3.005980671194028,0.04851478,0.001451296,-1.230235e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.13,5.0,5.5,4.88,-1.69,-0.13,57.5,51.9,51.9,50.0,-5.6,-1.9,56.3
58.0,24.934093,0.120560169,3.006058465941717,0.04864995,0.001436259,-1.009135e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.19,5.0,5.5,4.88,-1.63,-0.06,57.5,53.8,51.9,50.0,-5.6,-1.9,56.9
58.5,24.933852,0.120587858,3.006719804369016,0.04926525,0.001396627,-8.104545e-06,7.5,4.81,5.5,4.88,-2.0,0.0,7.19,5.0,5.5,4.88,-1.69,-0.06,57.5,53.8,51.9,51.9,-5.6,-1.9,56.3
59.0,24.932508,0.1205517,3.0056562246636,0.04870648,0.001422823,-1.199475e-05,7.5,4.94,5.5,4.88,-2.0,0.0,7.13,4.94,5.5,4.88,-1.63,-0.06,57.5,52.5,51.9,52.5,-5.6,-1.9,56.3
59.5,24.932563,0.120543674,3.005462746256462,0.04846523,0.001468071,-1.530584e-05,7.5,4.94,5.5,4.88,-2.0,0.0,7.19,4.94,5.5,4.88,-1.69,-0.13,56.9,51.3,51.3,49.4,-5.0,-1.9,56.3
60.0,24.932123,0.120561702,3.0058591833533463,0.04886403,0.001414432,-4.57599e-06,7.5,4.88,5.5,4.88,-2.0,0.0,7.13,5.0,5.5,4.88,-1.69,-0.13,56.9,52.5,51.9,50.6,-5.0,-1.9,56.3
60.5,24.932698,0.120540954,3.005411202713892,0.04848636,0.00146119,-1.174217e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.19,5.0,5.5,4.88,-1.69,-0.13,56.9,53.8,51.9,50.0,-5.6,-1.9,56.3
61.0,24.932561,0.120572461,3.0061802388026213,0.04908344,0.001488567,-1.513736e-05,7.38,4.88,5.5,4.88,-2.0,0.0,7.19,5.06,5.5,4.88,-1.63,-0.13,56.9,52.5,51.9,50.6,-5.6,-1.9,56.3
61.5,24.932287,0.120610896,3.0071054743991517,0.04876264,0.00142458,-1.011058e-05,7.5,4.94,5.5,4.88,-2.0,0.0,7.19,5.0,5.5,4.88,-1.63,-0.13,57.5,52.5,51.9,50.6,-5.6,-1.9,56.3
61.68502750680849,24.932651,0.120607188,3.007056926495388,0.04915502,0.00144251,-1.351353e-05,7.44,4.88,5.5,4.88,-2.0,0.06,7.13,5.06,5.5,4.94,-1.69,-0.13,56.9,53.8,51.9,51.9,-5.0,-1.9,56.9
62.0,24.932468,0.120588529,3.006569640459572,0.04924991,0.001499837,-1.794231e-05,7.44,4.94,5.44,4.94,-2.0,0.0,7.19,4.94,5.5,4.88,-1.69,-0.06,58.1,51.3,52.5,49.4,-5.6,-1.9,56.3
62.5,24.93099,0.120587975,3.0063775988452504,0.04890933,0.001445179,-1.777413e-05,7.63,4.88,5.5,4.88,-1.94,0.06,7.19,5.06,5.56,4.88,-1.63,-0.06,56.9,52.5,51.9,50.6,-5.0,-1.9,56.3
63.0,24.930088,0.120591961,3.006368199822568,0.04900765,0.001511114,-2.435755e-05,7.44,4.88,5.44,4.88,-2.0,0.0,7.19,4.94,5.5,4.88,-1.63,-0.13,57.5,51.3,51.9,49.4,-5.6,-1.9,55.6
63.5,24.92943,0.120598513,3.0064521879375903,0.04857827,0.001490882,-1.632728e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.19,5.0,5.5,4.88,-1.69,-0.13,56.9,51.9,51.9,50.0,-5.0,-1.9,56.9
64.0,24.929414,0.120575494,3.0058764081805163,0.04895626,0.001456508,-2.004393e-05,7.44,4.81,5.44,4.88,-2.0,0.06,7.19,5.0,5.56,4.88,-1.69,-0.06,56.9,52.5,51.9,49.4,-5.6,-1.9,50.0
64.5,24.93019,0.120590336,3.00633998864384,0.04863064,0.001560524,-2.696227e-05,7.56,4.81,5.44,4.88,-1.94,0.0,7.13,4.94,5.5,4.88,-1.63,-0.06,56.3,52.5,51.9,50.6,-5.0,-1.9,56.3
65.0,24.929734,0.120618604,3.006989713171336,0.04927375,0.001457993,-2.073073e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.13,5.0,5.5,4.88,-1.63,-0.13,57.5,51.9,51.9,50.6,-5.6,-1.9,55.6
65.5,24.929982,0.120604393,3.006665346610926,0.04882957,0.001433809,-6.971696e-06,7.5,4.88,5.5,4.88,-2.06,0.06,7.19,5.06,5.5,4.94,-1.69,-0.13,57.5,52.5,51.9,50.6,-5.6,-1.9,56.3
66.0,24.93006,0.120615897,3.00696154916382,0.0488861,0.001430787,-1.255053e-05,7.44,4.88,5.5,4.88,-2.0,0.0,7.19,5.0,5.5,4.81,-1.69,-0.13,57.5,52.5,51.9,50.6,-5.0,-1.9,56.3
66.5,24.929877,0.12061055,3.00680617640235,0.04880999,0.001470739,-6.476017e-06,7.44,4.81,5.44,4.88,-2.0,0.0,7.25,5.0,5.56,4.88,-1.69,-0.13,57.5,52.5,51.9,50.6,-5.6,-1.9,56.3
67.0,24.929804,0.120606816,3.0067042839440643,0.04834624,0.001444571,-1.443368e-05,7.5,4.81,5.56,4.88,-2.0,0.0,7.13,5.0,5.5,4.88,-1.63,-0.13,58.1,53.8,51.9,51.9,-5.6,-1.9,56.3
67.5,24.929843,0.120606532,3.006701907534476,0.0486692,0.001491427,-1.876181e-05,7.56,4.88,5.5,4.88,-2.0,0.0,7.13,5.0,5.5,4.88,-1.63,-0.13,56.9,52.5,51.9,50.0,-5.0,-1.9,56.3
68.0,24.929846,0.120606685,3.0067060836205104,0.04842551,0.00144265,-1.303237e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.13,5.0,5.5,4.88,-1.63,-0.13,57.5,51.9,52.5,50.6,-5.6,-1.9,56.3
68.5,24.929901,0.120610615,3.006810691499115,0.048448,0.001473359,-2.125846e-05,7.5,4.88,5.5,4.88,-1.94,0.0,7.19,5.0,5.5,4.88,-1.69,-0.13,57.5,52.5,51.9,50.6,-5.6,-1.9,56.3
69.0,24.932548,0.12061935,3.0073477336038,0.04902644,0.001449478,-1.084906e-05,7.44,4.88,5.5,4.88,-2.06,0.0,7.19,5.06,5.5,4.94,-1.63,-0.13,57.5,52.5,51.9,50.6,-5.0,-1.9,56.9
69.5,24.932554,0.120632457,3.007675248305178,0.04853156,0.001393282,-1.77029e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.13,5.0,5.5,4.88,-1.63,-0.13,56.9,51.9,51.9,50.6,-5.6,-1.9,55.6
70.0,24.933741,0.120652786,3.0083253170524262,0.04868192,0.001413045,-1.791666e-05,7.5,4.94,5.5,4.88,-2.0,0.0,7.25,4.94,5.5,4.88,-1.63,-0.13,57.5,52.5,51.9,50.6,-5.6,-1.9,56.3
70.5,24.931748,0.120634182,3.007621025810136,0.04937629,0.001444196,-2.497111e-05,7.44,4.88,5.5,4.88,-2.0,0.0,7.13,5.06,5.5,4.94,-1.69,-0.13,57.5,53.8,51.9,51.9,-5.6,-1.9,56.3
71.0,24.933502,0.120622427,3.007539524849354,0.04867196,0.001520394,-2.745256e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.19,4.94,5.5,4.88,-1.63,-0.13,57.5,52.5,51.9,50.6,-5.0,-1.9,56.3
71.5,24.933626,0.120633508,3.007830771540008,0.04855026,0.001548866,-3.871259e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.19,5.0,5.5,4.94,-1.63,-0.13,57.5,52.5,51.9,50.6,-5.6,-1.9,56.3
72.0,24.933667,0.120630469,3.0077599440998233,0.04875036,0.001474184,-2.494777e-05,7.5,4.88,5.5,4.88,-2.0,-0.06,7.19,4.94,5.5,4.88,-1.69,-0.06,57.5,52.5,51.9,50.6,-5.0,-1.9,55.6
72.5,24.93139,0.120654217,3.00807733917163,0.04883701,0.001451763,-1.811082e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.19,5.0,5.44,4.88,-1.69,-0.13,58.1,52.5,51.9,50.6,-5.0,-1.9,56.3
73.0,24.931332,0.120639445,3.00770205559074,0.04896743,0.001525856,-2.81262e-05,7.5,4.81,5.5,4.88,-2.0,0.06,7.19,5.0,5.5,4.81,-1.63,-0.13,56.9,52.5,51.9,50.6,-5.6,-1.9,56.3
73.5,24.931434,0.120663311,3.0083093744179736,0.04894855,0.001491698,-2.175788e-05,7.56,4.81,5.5,4.88,-1.94,0.06,7.19,4.94,5.5,4.88,-1.63,-0.13,57.5,52.5,51.9,50.6,-5.0,-1.9,55.6
74.0,24.931351,0.120598654,3.006687373001554,0.04852625,0.001384077,-8.004598e-06,7.5,4.88,5.5,4.88,-2.0,0.0,7.19,5.06,5.5,4.94,-1.63,-0.06,56.9,52.5,51.9,50.6,-5.6,-1.9,56.3
74.5,24.931456,0.12064098,3.00775528466688,0.04904996,0.001478994,-1.114316e-05,7.5,4.81,5.5,4.88,-2.0,0.0,7.13,5.0,5.5,4.88,-1.69,-0.13,57.5,52.5,51.9,50.6,-5.6,-1.9,56.3
