Time (s),VDS_A,VDS_B,V_MR,V_RECT_IN,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN"", ""GATE_1"", ""GATE_2""]"
3.0200000000000003e-07,-0.7812485120000012,57.03125503999999,25.312493568000008,1.562500096,8192
3.025e-07,-0.7812485120000012,57.812505087999995,19.062493184000004,0.0,8192
3.03e-07,-0.7812485120000012,57.03125503999999,15.937492992000003,0.0,8192
3.0350000000000004e-07,-0.7812485120000012,58.593755136,12.812492800000001,-3.125000192,8192
3.04e-07,-1.5624985600000016,58.593755136,12.812492800000001,-3.125000192,8192
3.045e-07,-0.7812485120000012,60.15625523199999,6.562492415999998,-4.687500288,8192
3.0500000000000004e-07,-0.7812485120000012,59.375005184,4.999992320000004,-6.250000384,8192
3.0550000000000003e-07,1.5359999991915174e-06,60.15625523199999,1.8749921280000024,-7.81250048,8192
3.06e-07,-1.5624985600000016,60.15625523199999,0.3124920319999944,-9.375000576,8192
3.065e-07,-0.7812485120000012,60.15625523199999,-2.812508159999993,-9.375000576,8192
3.0700000000000004e-07,-1.5624985600000016,60.937505279999996,-5.937508352000009,-9.375000576,8192
3.075e-07,-1.5624985600000016,60.937505279999996,-9.062508543999996,-14.062500864,8192
3.08e-07,-1.5624985600000016,60.937505279999996,-10.625008640000004,-14.062500864,8192
3.0850000000000004e-07,-1.5624985600000016,60.15625523199999,-13.750008831999992,-15.62500096,8192
3.0900000000000003e-07,-1.5624985600000016,59.375005184,-16.875009024000008,-15.62500096,8192
3.095e-07,-2.343748608000002,60.15625523199999,-18.437509119999987,-17.187501056,8192
3.1e-07,-1.5624985600000016,60.15625523199999,-20.000009215999995,-20.312501248,8192
3.1050000000000003e-07,-0.7812485120000012,58.593755136,-23.125009407999983,-21.875001343999998,8192
3.11e-07,-1.5624985600000016,58.593755136,-26.2500096,-23.43750144,8192
3.115e-07,-1.5624985600000016,58.593755136,-27.812509696000006,-25.000001536,8192
3.1200000000000004e-07,-2.343748608000002,58.593755136,-26.2500096,-25.000001536,8192
3.125e-07,-1.5624985600000016,58.593755136,-30.937509887999994,-26.562501632,8192
3.13e-07,-1.5624985600000016,57.812505087999995,-30.937509887999994,-28.125001728,8192
3.135e-07,-0.7812485120000012,57.03125503999999,-32.500009984,-29.687501823999998,8192
3.1400000000000003e-07,-1.5624985600000016,56.250004992,-35.62501017599999,-31.25000192,8192
3.145e-07,-0.7812485120000012,55.468754944,-37.187510272,-31.25000192,8192
3.15e-07,-0.7812485120000012,53.906254848,-38.750010368000005,-31.25000192,8192
3.1550000000000004e-07,-0.7812485120000012,53.906254848,-38.750010368000005,-32.812502015999996,8192
3.16e-07,-0.7812485120000012,53.1250048,-38.750010368000005,-34.375002112,8192
3.165e-07,-1.5624985600000016,51.56250470399999,-40.312510463999985,-35.937502208,8192
