Time (s),VGS_A,VGS_B,VDS_A,VDS_B,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN""]"
1.5250000000000002e-07,4.890625407999999,-0.2656249088,-1.2499957760000058,47.499999232,512
1.53e-07,4.890625407999999,-0.18749990400000005,-1.8749957120000005,47.499999232,0
1.5350000000000002e-07,4.890625407999999,0.04687511039999981,-1.8749957120000005,47.499999232,0
1.54e-07,4.9687504127999995,0.12500011519999976,-1.2499957760000058,47.499999232,0
1.5450000000000001e-07,4.8125004032,-0.031249894400000144,-1.2499957760000058,48.749999104,0
1.55e-07,4.890625407999999,-0.18749990400000005,-1.2499957760000058,49.999998976,0
1.555e-07,4.8125004032,-0.2656249088,-1.2499957760000058,50.624998912,0
1.5600000000000002e-07,4.8125004032,-0.031249894400000144,-0.624995840000004,50.624998912,0
1.565e-07,4.734375398399999,-0.031249894400000144,-1.8749957120000005,51.249998848000004,0
1.5700000000000002e-07,4.8125004032,-0.031249894400000144,-1.8749957120000005,50.624998912,0
1.575e-07,4.890625407999999,-0.1093748992000001,-1.8749957120000005,51.249998848000004,0
1.58e-07,4.734375398399999,-0.031249894400000144,-1.8749957120000005,51.874998784,0
1.5850000000000002e-07,4.8125004032,-0.031249894400000144,-1.8749957120000005,52.49999872,0
1.59e-07,4.734375398399999,-0.1093748992000001,-2.4999956480000023,53.124998656,0
1.5950000000000002e-07,4.8125004032,-0.18749990400000005,-2.4999956480000023,53.124998656,0
1.6e-07,4.8125004032,-0.1093748992000001,-1.8749957120000005,53.124998656,0
1.6050000000000001e-07,4.890625407999999,-0.1093748992000001,-1.8749957120000005,53.749998592,0
1.61e-07,4.8125004032,-0.18749990400000005,-1.8749957120000005,54.374998528,0
1.615e-07,4.734375398399999,-0.031249894400000144,-1.8749957120000005,54.374998528,0
1.6200000000000002e-07,4.8125004032,-0.1093748992000001,-1.2499957760000058,53.749998592,0
1.625e-07,4.734375398399999,-0.18749990400000005,-2.4999956480000023,54.374998528,0
1.6300000000000002e-07,4.890625407999999,-0.1093748992000001,-2.4999956480000023,54.374998528,0
1.635e-07,4.890625407999999,-0.1093748992000001,-2.4999956480000023,53.749998592,0
1.64e-07,4.890625407999999,0.04687511039999981,-1.2499957760000058,52.49999872,0
1.645e-07,4.8125004032,-0.031249894400000144,-1.8749957120000005,53.124998656,0
1.65e-07,4.8125004032,-0.031249894400000144,-1.8749957120000005,53.124998656,0
1.6550000000000002e-07,4.890625407999999,-0.1093748992000001,-1.8749957120000005,52.49999872,0
1.66e-07,4.890625407999999,-0.031249894400000144,-2.4999956480000023,52.49999872,0
1.6650000000000002e-07,4.890625407999999,-0.031249894400000144,-1.8749957120000005,52.49999872,0
1.67e-07,4.8125004032,-0.031249894400000144,-1.8749957120000005,51.874998784,0
1.675e-07,4.8125004032,0.04687511039999981,-2.4999956480000023,51.249998848000004,0
1.6800000000000002e-07,4.8125004032,-0.1093748992000001,-1.8749957120000005,50.624998912,0
1.685e-07,4.8125004032,-0.1093748992000001,-1.8749957120000005,49.999998976,0
1.6900000000000002e-07,4.734375398399999,-0.18749990400000005,-2.4999956480000023,49.999998976,0
1.695e-07,4.2656253695999995,-0.18749990400000005,-1.8749957120000005,49.37499904,0
1.7000000000000001e-07,3.7187503359999994,-0.1093748992000001,-2.4999956480000023,47.499999232,0
1.705e-07,3.1718753023999993,-0.1093748992000001,-2.4999956480000023,47.499999232,0
1.71e-07,2.8593752831999995,-0.1093748992000001,-2.4999956480000023,46.874999296,0
1.7150000000000002e-07,2.5468752639999996,-0.031249894400000144,-3.124995584000004,44.999999488,0
1.72e-07,1.9218752255999996,-0.031249894400000144,-0.624995840000004,43.749999616,0
1.7250000000000002e-07,1.0625001727999996,-0.031249894400000144,-0.624995840000004,42.499999744,0
1.73e-07,-0.031249894400000144,-0.1093748992000001,1.8750039039999962,42.499999744,0
1.735e-07,-0.968749952,-0.1093748992000001,3.125003776,41.874999808,0
1.7400000000000002e-07,-1.75,-0.18749990400000005,5.62500352,40.624999936,0
1.745e-07,-1.9843750143999999,-0.18749990400000005,9.375003135999997,39.375000064,0
1.7500000000000002e-07,-2.140625024,-0.1093748992000001,11.875002879999997,38.750000127999996,0
1.755e-07,-2.2187500287999997,-0.031249894400000144,12.500002815999999,36.87500032,0
1.7600000000000001e-07,-2.2968750336,-0.1093748992000001,11.875002879999997,36.250000384,0
1.765e-07,-2.2187500287999997,-0.1093748992000001,11.250002943999998,34.375000576,1024
1.77e-07,-2.0625000192,-0.031249894400000144,13.750002687999999,33.125000704,1024
1.7750000000000002e-07,-1.5937499904,-0.1093748992000001,19.375002111999997,31.875000831999998,1024
1.78e-07,-0.7343749376000002,-0.1093748992000001,25.625001472,29.375001087999998,1024
1.7850000000000002e-07,-0.1093748992000001,-0.031249894400000144,28.125001216,28.125001216,3072
1.79e-07,0.35937512960000007,-0.1093748992000001,26.875001343999998,27.50000128,3072
1.795e-07,0.4375001344,-0.18749990400000005,23.125001728,25.625001472,3072
1.8000000000000002e-07,0.4375001344,-0.18749990400000005,22.500001792,24.375001599999997,3072
1.805e-07,0.5937501439999999,-0.1093748992000001,26.250001408,22.500001792,3072
